Brand,Product,Deal Price,Promotion Effectivity,Aisle,Grocery Store
"
                        Svelte
                    ",Partially Dealcoholized Canadian White Wine,$11.99 ea.,"
Valid until Dec 6, 2023
",beer-wine,Super C
"
",English Cucumber,$0.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Red Cluster Tomatoes,$4.25 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Raspberries,2 /$3.88,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Stella Artois
                    ",Belgian Blonde Lager Beer,$29.95 ea.,"
Valid until Dec 6, 2023
",beer-wine,Super C
"
                        Irresistibles
                    ",Frozen Three-Meat Pie,$6.99 ea.,"
Valid until Dec 6, 2023
",frozen,Super C
"
                        Irresistibles
                    ",Frozen Chicken Pie,$6.99 ea.,"
Valid until Dec 6, 2023
",deli-prepared-meals,Super C
"
                        Vachon
                    ",Ah Caramel!™ Cakes,$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
",European Cut Chuck Roast,$24.78 avg.,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Pom
                    ",Plain English Muffins,2 /$6.00,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
",Blackberries,$3.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Pom
                    ",Sliced Sesame Bagels,2 /$6.00,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
",Avocado,$0.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Corona Extra
                    ",Mexican Lager Beer,2 /$70.00,"
Valid until Dec 6, 2023
",beer-wine,Super C
"
                        Heineken
                    ",Dutch Lager Beer,$29.95 ea.,"
Valid until Dec 6, 2023
",beer-wine,Super C
"
                        General Mills
                    ","Honey Nut Oats Cereal Value Pack, Cheerios",$5.47 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        General Mills
                    ","Triple Berry Flavoured Oat Cereal Value Pack, Oatmea...",$5.47 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
",Hothouse Red Pepper,$2.64 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Red Bull
                    ","Energy Drink, Watermelon",$2.29 ea.,"
Valid until Jan 3, 2024
",beverages,Super C
"
                        Attitude
                    ",Baby Spinach,Check Website for Promotion Price,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Fresh Attitude
                    ",Spring Salad Mix,Check Website for Promotion Price,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Stella Artois
                    ",Belgian Blonde Lager Beer,2 /$70.00,"
Valid until Dec 6, 2023
",beer-wine,Super C
"
                        Nabob
                    ","Colombian Coffee T Discs, Tassimo",$4.97 ea.,"
Valid until Dec 6, 2023
",beverages,Super C
"
",Sweet Potato,$0.65 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Green Onions,$0.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Local Red Cluster Tomatoes,$4.25 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Hothouse Orange Pepper,$2.64 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Radish,$0.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Hothouse Yellow Pepper,$2.64 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Boneless skinless chicken breasts,$7.93 avg.,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Selection
                    ",Frozen Beef for Fondue,$6.99 ea.,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
",Local Nantes Carrots,$1.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        The Little Potato Company
                    ","Yellow Creamer Potatoes, Boomer Gold",$3.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Lean Ground Grain-Fed Veal,$4.95 g,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Attitude
                    ",Arugula,Check Website for Promotion Price,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
",Blueberries,$3.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        The Little Potato Company
                    ",Creamer Potatoe Trio,$3.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Heinz
                    ",Tomato Juice,$1.79 ea.,"
Valid until Dec 6, 2023
",beverages,Super C
"
                        The Little Potato Company
                    ","Red Creamer Potatoes, Blushing Belle",$3.99 ea.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Tostitos
                    ","Tortilla Chips, Scoops",3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Philadelphia
                    ",Original Cream Cheese,$5.47 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Québon
                    ","35% Whipping Cream, Ultra'cream",$3.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Irresistibles
                    ",Amber Maple Syrup,$6.88 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
",Jalapeño Pepper,$0.31 avg.,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Vachon
                    ",Jos Louis™ Original Cakes,$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Tostitos
                    ","Tortilla Chips, Rounds",3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Québon
                    ","10% Coffee Cream, Ultra'cream",$3.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Tostitos
                    ","Tortilla Chips, Restaurant Style",3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Tropicana
                    ",Orange Juice without Pulp,$6.99 ea.,"
Valid until Dec 6, 2023
",beverages,Super C
"
",White Kaiser Rolls,$2.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Québon
                    ","35% Cooking Cream, Ultra'cream",$3.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Leclerc
                    ","Mini Butter Cookies with Real Milk Chocolate, Célébr...",$2.22 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Irresistibles
                    ",2% Eggnog,$3.00 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Vachon
                    ",May West™ Original Cakes,$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Sealtest
                    ",14% Sour Cream,$3.00 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        St-Méthode
                    ",Homestyle™ sliced bread with stone ground old-fashio...,2 /$8.58,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        St-Méthode
                    ",Sliced Grandfather™ oat bread,2 /$8.58,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Selection
                    ",Puff Pastry Shells,$3.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Ritz
                    ",Original Crackers,2 /$5.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Irresistibles
                    ",Dark Maple Syrup,$6.88 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Tostitos
                    ","Multigrain Tortilla Chips, Rounds",3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Québon
                    ","35% Country Style Cream, Ultra'cream",$3.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Hygrade
                    ",Smoked Cocktail Wieners,2 /$6.00,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Habitant
                    ",French-Canadian Pea Soup,$2.00 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Fresh Attitude
                    ",San Marino Salad Mix,Check Website for Promotion Price,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Primo
                    ",Spaghettini,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Selection
                    ","10"" Flour Tortillas",$2.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Fresh Attitude
                    ",Baby Kale Blend,Check Website for Promotion Price,"
Valid until Dec 6, 2023
",fruits-vegetables,Super C
"
                        Vachon
                    ",Mille Feuilles Flaky Pastries,$3.77 ea.,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Red Bull
                    ","Energy Drink, Peach-Nectarine",$2.29 ea.,"
Valid until Jan 3, 2024
",beverages,Super C
"
                        Lactantia
                    ",Traditional Spread,$5.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Primo
                    ",Elbow Macaroni Pasta,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Lactantia
                    ",35% Cooking Cream,$3.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
",Sesame kaiser roll,$2.99 ea.,"
Valid until Dec 6, 2023
",bread-bakery-products,Super C
"
                        Lactantia
                    ",35% Whipping Cream,$3.99 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Primo
                    ",Spaghetti,3 /$5.00,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        St-Hubert
                    ",Frozen Chicken Pot Pie,$10.99 ea.,"
Valid until Dec 6, 2023
",deli-prepared-meals,Super C
"
                        iÖGO
                    ",1.5% Berry Flavoured Yogurt Variety Pack,$5.46 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Selection
                    ",Frozen Chicken for Fondue,$5.99 ea.,"
Valid until Dec 6, 2023
",meat-poultry,Super C
"
                        Pepperidge Farm
                    ","Cheddar Flavoured Baked Crackers, Goldfish",3 /$8.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Tostitos
                    ",Hint of Lime Tortilla Chips,3 /$10.00,"
Valid until Dec 6, 2023
",snacks,Super C
"
                        Philadelphia
                    ",Light Cream Cheese,$5.47 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Sealtest
                    ",2% Cottage Cheese,$3.00 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Selection
                    ","2-Ply Bathroom Tissue, Value Pack",$10.99 ea.,"
Valid until Dec 6, 2023
",household-cleaning,Super C
"
                        Sealtest
                    ","1% Cottage Cheese, Country Choice",$3.00 ea.,"
Valid until Dec 6, 2023
",dairy-eggs,Super C
"
                        Habitant
                    ",Pea Soup with Smoked Ham,$2.00 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
"
                        Knorr
                    ","Creamy Bacon Carbonara Pasta, Sidekicks",$1.65 ea.,"
Valid until Dec 6, 2023
",pantry,Super C
